Wavelength,Intensity # Note: second half of data set dropped
2570.3972647612154,1383
2573.9311695948581,1396
2577.4634251178832,1384
2580.9940322020047,1373
2584.5229917183788,1344
2588.0503045376227,1342
2591.5759715297863,1419
2595.0999935643886,1364
2598.6223715103824,1438
2602.1431062361808,1379
2605.6621986096507,1404
2609.1796494981118,1379
2612.6954597683271,1361
2616.2096302865211,1345
2619.7221619183656,1382
2623.2330555289936,1426
2626.7423119829909,1381
2630.2499321443956,1380
2633.7559168766984,1355
2637.2602670428532,1320
2640.7629835052649,1346
2644.2640671257959,1420
2647.763518765767,1397
2651.2613392859548,1356
2654.7575295465977,1378
2658.2520904073863,1394
2661.7450227274767,1378
2665.2363273654773,1363
2668.7260051794619,1391
2672.2140570269676,1378
2675.70048376498,1430
2679.1852862499563,1429
2682.6684653378124,1402
2686.150021883921,1390
2689.6299567431288,1365
2693.1082707697333,1392
2696.5849648175026,1386
2700.0600397396665,1355
2703.5334963889163,1384
2707.0053356174085,1418
2710.4755582767739,1421
2713.9441652180922,1402
2717.411157291921,1391
2720.8765353482795,1383
2724.3403002366595,1395
2727.8024528060105,1404
2731.2629939047565,1419
2734.7219243807867,1405
2738.1792450814592,1427
2741.6349568536007,1385
2745.0890605435106,1402
2748.5415569969537,1381
2751.9924470591632,1398
2755.4417315748524,1378
2758.8894113881925,1444
2762.3354873428343,1390
2765.7799602819014,1419
2769.2228310479859,1414
2772.6641004831545,1392
2776.1037694289444,1381
2779.5418387263726,1445
2782.9783092159178,1378
2786.413181737551,1417
2789.8464571306995,1425
2793.2781362342812,1428
2796.7082198866738,1389
2800.1367089257528,1364
2803.56360418885,1419
2806.9889065127809,1398
2810.41261673384,1386
2813.8347356878003,1425
2817.255264209909,1414
2820.6742031348949,1426
2824.0915532969666,1430
2827.5073155298123,1398
2830.9214906665948,1449
2834.3340795399617,1438
2837.7450829820409,1488
2841.1545018244378,1445
2844.5623368982506,1459
2847.9685890340425,1473
2851.3732590618747,1495
2854.7763478112756,1468
2858.1778561112733,1478
2861.57778479037,1476
2864.9761346765536,1514
2868.3729065972911,1584
2871.7681013795464,1520
2875.1617198497588,1579
2878.553762833857,1610
2881.9442311572548,1603
2885.3331256448528,1637
2888.7204471210371,1603
2892.1061964096825,1668
2895.4903743341529,1610
2898.8729817173025,1582
2902.2540193814621,1558
2905.6334881484636,1571
2909.0113888396263,1594
2912.3877222757565,1546
2915.7624892771491,1575
2919.1356906635938,1665
2922.5073272543705,1620
2925.8773998682464,1636
2929.2459093234847,1690
2932.6128564378414,1693
2935.9782420285592,1632
2939.3420669123807,1763
2942.704331905541,1719
2946.0650378237624,1726
2949.4241854822722,1738
2952.7817756957775,1709
2956.1378092784962,1671
2959.4922870441314,1677
2962.845209805886,1637
2966.1965783764608,1600
2969.5463935680473,1552
2972.8946561923367,1534
2976.2413670605165,1559
2979.5865269832848,1513
2982.9301367708158,1485
2986.2721972327945,1456
2989.6127091784074,1470
2992.9516734163353,1413
2996.2890907547608,1427
2999.6249620013677,1404
3002.9592879633365,1382
3006.2920694473523,1396
3009.6233072595987,1376
3012.9530022057661,1402
3016.2811550910465,1356
3019.6077667201243,1399
3022.9328378972004,1396
3026.2563694259661,1380
3029.5783621096307,1393
3032.8988167508978,1352
3036.2177341519782,1399
3039.5351151145878,1390
3042.850960439946,1341
3046.165270928781,1352
3049.4780473813262,1383
3052.7892905973222,1394
3056.0990013760111,1414
3059.4071805161529,1413
3062.713828816004,1347
3066.0189470733312,1351
3069.3225360854194,1353
3072.6245966490496,1384
3075.9251295605227,1351
3079.2241356156392,1339
3082.521615609714,1368
3085.81757033758,1344
3089.1120005935682,1354
3092.4049071715272,1366
3095.6962908648184,1375
3098.9861524663083,1316
3102.2744927683889,1361
3105.5613125629479,1376
3108.8466126413987,1304
3112.1303937946632,1336
3115.4126568131815,1341
3118.6934024869006,1391
3121.9726316052875,1336
3125.2503449573251,1319
3128.5265433315053,1363
3131.8012275158417,1385
3135.074398297862,1369
3138.346056464612,1337
3141.616202802652,1328
3144.88483809806,1361
3148.1519631364336,1373
3151.4175787028835,1360
3154.6816855820525,1358
3157.9442845580834,1303
3161.2053764146476,1333
3164.4649619349366,1391
3167.7230419016596,1331
3170.9796170970549,1307
3174.2346883028622,1338
3177.4882563003612,1353
3180.7403218703439,1366
3183.9908857931223,1356
3187.2399488485426,1345
3190.487511815958,1371
3193.73357547426,1375
3196.9781406018428,1346
3200.2212079766468,1335
3203.4627783761225,1331
3206.7028525772494,1346
3209.9414313565303,1386
3213.1785154899972,1344
3216.4141057532015,1345
3219.6482029212275,1332
3222.8808077686754,1335
3226.1119210696834,1379
3229.3415435979077,1338
3232.5696761265408,1363
3235.7963194282966,1364
3239.0214742754179,1333
3242.2451414396764,1384
3245.4673216923748,1324
3248.6880158043423,1344
3251.9072245459356,1314
3255.1249486870547,1313
