Wavelength,Intensity # Note: second half of data set dropped
1600.9118180392397,1585
1604.9020545531494,1621
1608.8903970563879,1625
1612.8768465792491,1602
1616.8614041513283,1616
1620.8440708015514,1625
1624.8248475581495,1615
1628.8037354486842,1612
1632.7807355000223,1553
1636.7558487383612,1595
1640.7290761892036,1619
1644.7004188773935,1611
1648.6698778270766,1594
1652.6374540617253,1549
1656.6031486041466,1633
1660.5669624764487,1588
1664.5288967000743,1549
1668.4889522957928,1580
1672.4471302836937,1593
1676.4034316831967,1612
1680.3578575130305,1607
1684.3104087912761,1591
1688.2610865353126,1561
1692.2098917618714,1564
1696.1568254869962,1572
1700.101888726058,1568
1704.0450824937689,1585
1707.9864078041719,1572
1711.9258656706115,1621
1715.8634571058028,1567
1719.7991831217623,1592
1723.7330447298555,1545
1727.6650429407637,1578
1731.5951787645208,1560
1735.5234532104841,1575
1739.4498672873378,1602
1743.3744220031149,1570
1747.2971183651716,1568
1751.2179573802132,1536
1755.1369400542644,1562
1759.0540673927026,1589
1762.9693404002392,1571
1766.8827600809091,1579
1770.7943274381068,1606
1774.7040434745541,1606
1778.6119091923138,1546
1782.5179255927906,1562
1786.4220936767306,1622
1790.3244144442178,1598
1794.2248888946888,1565
1798.1235180269032,1565
1802.0203028389842,1574
1805.9152443283856,1569
1809.80834349191,1552
1813.6996013257049,1539
1817.5890188252633,1599
1821.4765969854234,1582
1825.3623368003718,1600
1829.2462392636371,1577
1833.1283053681036,1575
1837.0085361059937,1612
1840.8869324688858,1544
1844.7634954477071,1572
1848.63822603273,1595
1852.5111252135866,1521
1856.3821939792433,1565
1860.251433318037,1561
1864.11884421765,1591
1867.984427665102,1603
1871.8481846467912,1597
1875.7101161484534,1583
1879.5702231551804,1536
1883.428506651424,1532
1887.284967620988,1592
1891.1396070470291,1544
1894.9924259120635,1593
1898.8434251979743,1618
1902.6926058859754,1561
1906.5399689566657,1539
1910.3855153899931,1575
1914.2292461652578,1567
1918.0711622611343,1585
1921.9112646556387,1576
1925.7495543261721,1599
1929.5860322494627,1617
1933.4206994016422,1549
1937.2535567581654,1562
1941.0846052938796,1557
1944.913845982981,1570
1948.7412797990291,1623
1952.5669077149541,1603
1956.3907307030458,1538
1960.2127497349647,1527
1964.0329657817347,1551
1967.8513798137465,1585
1971.6679928007579,1572
1975.4828057118975,1524
1979.2958195156534,1565
1983.107035179899,1570
1986.9164536718527,1563
1990.7240759581255,1529
1994.5299030046881,1552
1998.3339357768891,1550
2002.1361752394332,1607
2005.9366223564175,1632
2009.7352780912915,1579
2013.5321434068937,1580
2017.3272192654331,1527
2021.1205066284856,1584
2024.9120064570088,1550
2028.7017197113346,1556
2032.4896473511617,1539
2036.2757903355741,1585
2040.0601496230338,1609
2043.8427261713732,1545
2047.62352093781,1564
2051.40253487894,1559
2055.1797689507221,1580
2058.9552241085185,1580
2062.7289013070513,1608
2066.500801500435,1578
2070.2709256421585,1565
2074.0392746850994,1548
2077.8058495815058,1531
2081.570651283022,1549
2085.3336807406668,1546
2089.0949389048365,1565
2092.854426725331,1593
2096.6121451513209,1537
2100.3680951313509,1586
2104.1222776133764,1589
2107.8746935447234,1563
2111.6253438721105,1560
2115.3742295416378,1570
2119.121351498794,1532
2122.8667106884604,1568
2126.6103080549074,1566
